date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day
2023-05-07T00:00:00.000,2033790,0.85,705419,0.73,92076,0.94,83007,0.80,17822,1.05,902067,1.06,2705,0.77
2023-05-08T00:00:00.000,3563340,0.62,1460932,0.64,198056,0.62,180789,0.63,27771,0.94,935045,0.97,7196,0.41
2023-05-09T00:00:00.000,3925555,0.69,1524892,0.67,221290,0.69,205069,0.72,29923,1.02,955033,0.99,7827,0.45
2023-05-10T00:00:00.000,4014009,0.70,1528140,0.67,221747,0.69,203414,0.71,31360,1.07,981586,1.02,7998,0.46
2023-05-11T00:00:00.000,4015942,0.70,1535264,0.67,210683,0.66,201006,0.70,30899,1.05,1016578,1.06,7619,0.44
2023-05-12T00:00:00.000,3723192,0.65,1436385,0.63,201367,0.63,185027,0.65,29397,1.00,1043802,1.08,6629,0.38
2023-05-13T00:00:00.000,2487178,0.77,918257,0.66,113810,0.96,109940,0.73,18340,1.06,1008311,1.05,1973,0.41
2023-05-14T00:00:00.000,1926966,0.81,690606,0.72,102178,1.05,101088,0.97,20222,1.19,981015,1.15,1654,0.47
2023-05-15T00:00:00.000,3553443,0.62,1440741,0.63,201209,0.63,184909,0.65,25892,0.88,947897,0.98,6956,0.40
2023-05-16T00:00:00.000,4002015,0.70,1519397,0.67,227489,0.71,207484,0.72,29747,1.01,965091,1.00,7930,0.46
2023-05-17T00:00:00.000,4104786,0.72,1518546,0.67,223059,0.70,206630,0.72,30423,1.03,985531,1.02,7118,0.41
2023-05-18T00:00:00.000,4082154,0.71,1492657,0.66,218955,0.69,198433,0.69,29842,1.01,1008886,1.05,7530,0.43
2023-05-19T00:00:00.000,3789929,0.66,1431269,0.63,208310,0.65,181114,0.63,28381,0.97,1024064,1.06,6362,0.37
2023-05-20T00:00:00.000,2314672,0.72,760830,0.55,102957,0.87,95625,0.63,16570,0.96,888784,0.93,1970,0.41
2023-05-21T00:00:00.000,2132724,0.89,727850,0.76,103484,1.06,91335,0.88,17545,1.03,959948,1.13,1919,0.55
2023-05-22T00:00:00.000,3571748,0.62,1446015,0.64,203122,0.64,186008,0.65,27038,0.92,942741,0.98,6935,0.40
2023-05-23T00:00:00.000,3929003,0.69,1500973,0.66,219619,0.69,214621,0.75,29538,1.00,953703,0.99,7928,0.46
2023-05-24T00:00:00.000,3960264,0.69,1499943,0.66,219886,0.69,208487,0.73,30495,1.04,983724,1.02,7667,0.44
